SaleProd Code,SaleProd Name,Specification,Specification Owner
001A0024,Advance SX 2 (FB/EGB) (solvent free),ISO-L-EGB,ISO - International Organisation for Standardisation
001A0024,Advance SX 2 (FB/EGB) (solvent free),JASO FB,JASO - Japanese Automobile Standards Organization
001A0026,Advance Ultra 2T (FD/TC/EGD),API TC,American Petroleum Institute (API)
001A0026,Advance Ultra 2T (FD/TC/EGD),ISO-L-EGD,ISO - International Organisation for Standardisation
001A0026,Advance Ultra 2T (FD/TC/EGD),JASO FD,JASO - Japanese Automobile Standards Organization
001A0032,AeroShell Calibrating Fluid 2,MIL-PRF-7024E Type II,US Military
001A0034,AeroShell Compound 05,Joint Service Designation PX-ll,Joint Service Designation
001A0036,AeroShell Compound 06A,ASTM D770,ASTM - American Society for Testing and Materials
001A0036,AeroShell Compound 06A,BSI BS 1595,BSI - British Standards Institution
001A0036,AeroShell Compound 06A,GSA: TT-I-735a Grade B,GSA - General Services Administration (U.S.)
001A0036,AeroShell Compound 06A,Joint Service Designation AL-11,Joint Service Designation
001A0037,AeroShell Compound 07,DTD.406B,DTD - Ministry of Defence Procurement Executive
001A0037,AeroShell Compound 07,Joint Service Designation AL-5,Joint Service Designation
001A0037,AeroShell Compound 07,NATO S-745,NATO - North Atlantic Treaty Organisation
001A0039,AeroShell Fluid 1,AIR 3515/B,AIR - Direction Technique des Constructions Aeronautiques
001A0039,AeroShell Fluid 1,DEF STAN 91-44,DEF STAN - Ministry of Defence
001A0039,AeroShell Fluid 1,Joint Service Designation OM-13,Joint Service Designation
001A0039,AeroShell Fluid 1,NATO O-134,NATO - North Atlantic Treaty Organisation
001A0041,AeroShell Fluid 12,AIR 3511/A,AIR - Direction Technique des Constructions Aeronautiques
001A0041,AeroShell Fluid 12,DEF STAN 91-49,DEF STAN - Ministry of Defence
001A0041,AeroShell Fluid 12,Joint Service Designation OX-14,Joint Service Designation
001A0041,AeroShell Fluid 12,MIL-PRF-6085D,US Military
001A0041,AeroShell Fluid 12,MIL-PRF-6085E,US Military
001A0041,AeroShell Fluid 12,MIL-QPL-CMS-OL-204,US Military
001A0041,AeroShell Fluid 12,NATO O-147,NATO - North Atlantic Treaty Organisation
001A0043,AeroShell Fluid 18,DEF STAN 91-79,DEF STAN - Ministry of Defence
001A0043,AeroShell Fluid 18,Joint Service Designation OX-14,Joint Service Designation
001A0043,AeroShell Fluid 18,MIL-PRF-32033,US Military
001A0043,AeroShell Fluid 18,NATO O-190,NATO - North Atlantic Treaty Organisation
001A0044,AeroShell Fluid 2F,AIR 1503/B Type B,AIR - Direction Technique des Constructions Aeronautiques
001A0044,AeroShell Fluid 2F,Joint Service Designation OX-270,Joint Service Designation
001A0044,AeroShell Fluid 2F,MIL-C-6529C Type II,US Military
001A0044,AeroShell Fluid 2F,NATO C-609,NATO - North Atlantic Treaty Organisation
001A0046,AeroShell Fluid 2XN,AIR 1503/B Type B Concentrate,AIR - Direction Technique des Constructions Aeronautiques
001A0046,AeroShell Fluid 2XN,DTD.4913A,DTD - Ministry of Defence Procurement Executive
001A0046,AeroShell Fluid 2XN,DTD.900,DTD - Ministry of Defence Procurement Executive
001A0046,AeroShell Fluid 2XN,Joint Service Designation ZX-21,Joint Service Designation
001A0046,AeroShell Fluid 2XN,MIL-C-6529C Type I,US Military
001A0046,AeroShell Fluid 2XN,NATO C-608,NATO - North Atlantic Treaty Organisation
